,brand,model,color,registration_date,year,price_in_euro,power_kw,power_ps,transmission_type,fuel_type,fuel_consumption_l_100km,fuel_consumption_g_km,mileage_in_km,offer_description
42558,bmw,BMW M850,black,22-Nov,2022,77390,390,530,Automatic,Petrol,,#NAME?,25659,i xDrive Integral*Sitzbelüftung*Multifunktionssitz
39922,bmw,BMW 840,white,19-Jun,2019,77380,235,320,Automatic,Diesel,"6,2 l/100 km",161 g/km,19990,d xDrive Cabrio M Sportpaket B&W Surround
539,alfa-romeo,Alfa Romeo 4C,yellow,16-Mar,2016,77350,177,241,Automatic,Petrol,"6,9 l/100 km",161 g/km,18500,Spider 1750 TBI aus 2.Hand 18500KM Mwst.ausw.
245753,volkswagen,Volkswagen T6.1 California,grey,23-May,2023,77343,110,150,Automatic,Diesel,8 l/100 km,210 g/km,30,"6.1 Coast 3-Zonen Klimaanlage, Luft-Standheizun..."
41875,bmw,BMW X5,violet,21-Apr,2021,77300,290,394,Automatic,Hybrid,,#NAME?,57500,45e INDIVIDUAL=NP111.614*M SPORT*INTEGRAL*PANO*AHK
42062,bmw,BMW 550,blue,22-Feb,2022,77300,390,530,Automatic,Petrol,10 l/100 km,231 g/km,30000,M i xDr. *ACC*AHK*GLASDACH*MASSAGE*SHADOW ERW.*
243611,volkswagen,Volkswagen Touareg,beige,22-Jan,2022,77300,170,231,Automatic,Diesel,8 l/100 km,211 g/km,7162,Atmosphere V6 3.0 TDI DSG 4Motion HUD Luftfederung
244116,volkswagen,Volkswagen Grand California,grey,22-Jul,2022,77300,130,177,Automatic,Diesel,,#NAME?,22826,"22DEVWVWGC60ZMA 130 kW (177 PS), Automatik, Fro..."
1027,alfa-romeo,Alfa Romeo Giulia,blue,22-May,2022,77290,375,510,Automatic,Petrol,9 l/100 km,206 g/km,20,"Quadrifoglio, Assistenz Paket, NP: 90.790"
97043,land-rover,Land Rover Range Rover Evoque,black,23-Jan,2023,77290,150,204,Automatic,Diesel,"5,3 l/100 km",180 g/km,1000,D200 Autobiography
76356,ford,Ford Transit,orange,23-Jun,2023,77240,110,150,Automatic,Diesel,"5,9 l/100 km",156 g/km,10,Nugget /Aufstelldach 150PS Aut.
76390,ford,Ford,orange,23-Jun,2023,77240,110,150,Automatic,Diesel,,-/-,10,Transit Nugget /Aufstelldach 150PS Aut.
167635,porsche,Porsche Cayenne,white,19-Oct,2019,77221,250,340,Automatic,Petrol,"9,1 l/100 km",207 g/km,73000,/SOFT CLOSE/HEAD-UP/PANO/KAM/VOLL/1 HAND
21775,audi,Audi Q8,blue,23-Feb,2023,77190,250,340,Automatic,Electric,,491 km Reichweite,4500,e-tron e-tron 50 advanced quattro*Matrix*HUD*Tour*
95928,land-rover,Land Rover Range Rover Sport,grey,20-Oct,2020,77190,183,249,Automatic,Diesel,"7,6 l/100 km",199 g/km,99000,D250 HSE Silver
250520,volvo,Volvo XC90,white,21-May,2021,77190,288,392,Automatic,Hybrid,"2,1 l/100 km",47 g/km,12200,T8 Inscription AWD 360° Cam AHK Stdhzg.
20530,audi,Audi A3,blue,22-Jun,2022,77180,140,190,Automatic,Petrol,"6,8 l/100 km",155 g/km,4230,40 TFSI Q S tronic S line B&O Matri
74976,ford,Ford Ranger,grey,23-Jan,2023,77150,212,288,Automatic,Petrol,"13,8 l/100 km",315 g/km,150,Raptor DoKa 3.0 Ecoboost Raptor Paket Allrad El. V
244080,volkswagen,Volkswagen Caddy,grey,22-Oct,2022,77150,84,114,Manual,Petrol,"6,4 l/100 km",145 g/km,8753,Basis KO 84 TSI SG6
85749,jaguar,Jaguar F-Pace,black,22-Nov,2022,77092,150,204,Automatic,Diesel,"5,2 l/100 km",138 g/km,8500,"F-PACE D200 R-Dyn.*Black*21""AHK ACC Pano WinterP"
243726,volkswagen,Volkswagen T-Cross,blue,22-Oct,2022,77090,81,110,Automatic,Petrol,"5,1 l/100 km",116 g/km,5000,1.0TSI DSG Style LED Navi AHK Kamera ACC LaneAs...
43204,bmw,BMW i4,white,23-Feb,2023,77049,210,286,Automatic,Electric,165 kWh/100 km,0 g/km,6733,"eDrive35 MSport,DrivProf,Park+,Laser,H/K,19"""
41442,bmw,BMW 730,grey,21-Oct,2021,77000,210,286,Automatic,Diesel,"5,1 l/100 km",#NAME?,63500,730Ld xDrive
94759,land-rover,Land Rover Range Rover,grey,18-Jul,2018,77000,250,340,Automatic,Diesel,"8,4 l/100 km",219 g/km,20962,4.4*Autobiography*Panorama*Voll
95910,land-rover,Land Rover Range Rover Velar,grey,20-Jan,2020,77000,405,551,Automatic,Petrol,"11,8 l/100 km",270 g/km,77935,SV Autobiography Dynamic
108799,mercedes-benz,Mercedes-Benz G 55 AMG,black,9-Nov,2009,77000,373,507,Automatic,Petrol,"15,9 l/100 km",#NAME?,79760,Prototyp/Pressefahrzeug G 55 AMG L Automatik
116152,mercedes-benz,Mercedes-Benz S 65 AMG,black,15-Jun,2015,77000,463,630,Automatic,Petrol,"11,9 l/100 km",279 g/km,141000,L S -Klasse Lim. (BM 222)
164730,porsche,Porsche 911,silver,7-Feb,2007,77000,280,381,Manual,Petrol,"12,4 l/100 km",#NAME?,42000,997 Carrera 4 S Cabrio VollaService Neu Liebhaber.
166371,porsche,Porsche Panamera,black,17-Sep,2017,77000,404,549,Automatic,Petrol,"9,3 l/100 km",#NAME?,100000,Turbo
167467,porsche,Porsche 718,black,19-Jul,2019,77000,269,366,Automatic,Petrol,"8,5 l/100 km",#NAME?,28468,718 Boxster GTS PDK
167545,porsche,Porsche Cayenne,black,19-Mar,2019,77000,250,340,Automatic,Petrol,"9,8 l/100 km",#NAME?,75000,S Tiptronic
22987,bentley,Bentley Mulsanne,black,12-Aug,2012,76999,377,513,Automatic,Petrol,"14,6 l/100 km",342 g/km,170500,6.8 V8 Automatik
39050,bmw,BMW M850,grey,19-Nov,2019,76999,390,530,Automatic,Petrol,"10,1 l/100 km",#NAME?,45000,M850i xDrive Gran Coupe
96825,land-rover,Land Rover Discovery,grey,23-Apr,2023,76999,183,249,Automatic,Diesel,"7,5 l/100 km",198 g/km,9,D250 R-DYNAMIC SE Tempom.aktiv Panoram
96933,land-rover,Land Rover Range Rover Velar,black,23-Apr,2023,76999,297,404,Automatic,Hybrid,"2,3 l/100 km",53 g/km,2900,2.0 P400e S AWD Tempom.aktiv P
