,brand,model,color,registration_date,year,price_in_euro,power_kw,power_ps,transmission_type,fuel_type,fuel_consumption_l_100km,fuel_consumption_g_km,mileage_in_km,offer_description
93699,lamborghini,Lamborghini,grey,18-Aug,2018,5890500,566,770,Automatic,Petrol,16 l/100 km,370 g/km,65,CENTENARIO ROADSTER LP770-4 |1 OF 20 |NO MILEAGE
93840,lamborghini,Lamborghini,black,21-Nov,2021,3250000,602,818,Automatic,Hybrid,"14,8 l/100 km",373 g/km,177,Sian
106583,mercedes-benz,Mercedes-Benz SLR,grey,7-Jan,2007,2490000,478,650,Automatic,Petrol,"14,5 l/100 km",348 g/km,15793,722 MSO McLaren Edition 1 of 25 worldwide  Nr.12
1509,aston-martin,Aston Martin,brown,11-Aug,2011,2289000,559,760,Automatic,Petrol,,#NAME?,8900,One-77 I Bang Olufsen I Carbon I Q-Ausstattung
165445,porsche,Porsche 918,white,14-Jun,2014,1990000,652,886,Automatic,Hybrid,"3,1 l/100 km",72 g/km,5125,Spyder WEISSACH PAKET MAGNESIUM FELGEN
164621,porsche,Porsche Carrera GT,black,6-Apr,2006,1580000,450,612,Manual,Petrol,,#NAME?,13460,CARRERA GT | NR. 1234 | UNIQUE COLOR COMBO
164598,porsche,Porsche Carrera GT,black,5-Apr,2005,1549000,450,612,Manual,Petrol,,#NAME?,26800,1.Hd Deutsches Fahrzeug !! Mwst awb!!
165783,porsche,Porsche 991,white,15-Jan,2015,1350000,316,430,Automatic,Petrol,"8,9 l/100 km",207 g/km,27000,Carrera GTS Cabrio nur 27.000km Komfortpaket
52260,ferrari,Ferrari F12,yellow,17-Apr,2017,1290000,570,775,Automatic,Petrol,,#NAME?,10800,*TDF 1of799*Ferrari-Dresden*
165263,porsche,Porsche 918,grey,14-Jul,2014,1290000,652,886,Automatic,Hybrid,- (l/100 km),0 g/km,31490,Spyder | Weissach-Package | service new
1671,aston-martin,Aston Martin Vantage,green,22-Apr,2022,1288000,515,700,Automatic,Petrol,,#NAME?,1600,V12 Speedster
1657,aston-martin,Aston Martin Vantage,blue,22-Jun,2022,1170000,515,700,Automatic,Petrol,"11,4 l/100 km",298 g/km,80,V12 Speedster 1 of 88
52149,ferrari,Ferrari 599,red,11-Apr,2011,1150000,493,670,Automatic,Petrol,"17,5 l/100 km",411 g/km,3800,GTO * German delivery * rare color *
52218,ferrari,Ferrari 458,blue,15-Jul,2015,1045800,445,605,Automatic,Petrol,"13,3 l/100 km",307 g/km,2824,Speciale Aperta |Tour de France| 878.824€ n.
37591,bmw,BMW 550,brown,18-Jul,2018,1010101,294,400,Automatic,Diesel,"6,3 l/100 km",165 g/km,87000,M550d xDrive Touring Aut.(Hagelschaden!!!) VB!!!
5965,audi,Audi Q7,black,11-Nov,2011,1000000,180,245,Automatic,Diesel,"7,4 l/100 km",195 g/km,143700,Q7 3.0 TDI SLine 21Zoll Panorama Standh AHK BOSE
93837,lamborghini,Lamborghini Aventador,black,21-May,2021,1000000,566,770,Automatic,Petrol,,#NAME?,4053,SVJ NOVITEC Edition 1of 1 MEGA-VOLL
107746,mercedes-benz,Mercedes-Benz CLK 55 AMG,black,8-Aug,2008,999999,428,582,Automatic,Petrol,,0 g/km,7200,DTM Edition 1 of 100 Navi|Leder|Xenon
108788,mercedes-benz,Mercedes-Benz SLR,black,9-Feb,2009,998722,478,650,Automatic,Petrol,,#NAME?,8316,McLaren 722 S Roadster
52535,ferrari,Ferrari 812,black,22-Mar,2022,989812,588,799,Automatic,Petrol,"15,1 l/100 km",345 g/km,1100,"GTS NOVITEC N-LARGO 1 OF 18,CARBON,RACE,JBL"
93883,lamborghini,Lamborghini Aventador,green,22-Mar,2022,977000,566,770,Automatic,Petrol,"31,4 l/100 km",486 g/km,80,SVJ Roadster ---AdPersonam---
52146,ferrari,Ferrari 599,red,11-Mar,2011,969900,489,665,Automatic,Petrol,,#NAME?,7200,GTO
52403,ferrari,Ferrari 488,red,20-Aug,2020,959980,530,721,Automatic,Petrol,"11,4 l/100 km",260 g/km,94,FLXBL LEASING
52136,ferrari,Ferrari 599,silver,10-Dec,2010,959900,492,669,Automatic,Petrol,,#NAME?,10000,GTO 1 of FERRARI SINGEN
115424,mercedes-benz,Mercedes-Benz G 63 AMG,white,14-Jan,2014,939990,400,544,Automatic,Petrol,"13,8 l/100 km",322 g/km,19900,G 63 6x6/1.HAND/DEUTSCH/KAMERA/BRABUS/SERVICENEU
106584,mercedes-benz,Mercedes-Benz SLR,grey,7-May,2007,898150,478,650,Automatic,Petrol,"14,5 l/100 km",348 g/km,9179,McLaren 722 Coupe *wie neu*
52334,ferrari,Ferrari 812,red,19-Aug,2019,865000,618,840,Automatic,Petrol,,#NAME?,6120,SF N-Largo Novitec *1OF18*ROSSO CORSA*CARBON
1578,aston-martin,Aston Martin Lagonda,green,18-Jan,2018,859990,412,560,Automatic,Petrol,,#NAME?,5150,Taraf
52154,ferrari,Ferrari 599,white,11-May,2011,859800,489,665,Automatic,Petrol,,#NAME?,26550,***Ferrari Frankfurt***
93781,lamborghini,Lamborghini Aventador,black,20-Sep,2020,856562,566,770,Automatic,Petrol,"19,6 l/100 km",452 g/km,2800,SVJ ROADSTER + CAMERA + CARBON
67864,ford,Ford GT,silver,18-Aug,2018,849900,483,657,Automatic,Petrol,"14,9 l/100 km",350 g/km,3600,| Carbon Package
114790,mercedes-benz,Mercedes-Benz E 500,silver,14-Jul,2014,840000,300,408,Automatic,Petrol,"8,9 l/100 km",211 g/km,124986,CGI Coupe AMG *TOP Ausstattung*
93776,lamborghini,Lamborghini Aventador,black,20-Oct,2020,839950,566,770,Automatic,Petrol,"17,9 l/100 km",486 g/km,1550,SVJ*Traumauto*Miete*Mietkauf mögl.
52417,ferrari,Ferrari 488,silver,20-Apr,2020,839000,530,721,Automatic,Petrol,,263 g/km,1950,GTC4Lusso - FERRARI HAMBURG
93879,lamborghini,Lamborghini Aventador,green,22-May,2022,837760,574,780,Automatic,Petrol,18 l/100 km,442 g/km,55,"Ultimae ""1 of 350"" ON STOCK"
52225,ferrari,Ferrari 458,red,15-Apr,2015,829500,441,600,Automatic,Petrol,"13,3 l/100 km",307 g/km,15645,Speciale Aperta *1 OF 499*CARBON*CAPRISTO*
93842,lamborghini,Lamborghini Aventador,black,21-Dec,2021,829000,566,770,Automatic,Petrol,"17,9 l/100 km",486 g/km,195,SVJ Roadster  AdPersonam*Carbon*Sofort
115624,mercedes-benz,Mercedes-Benz SLS,yellow,15-Jan,2015,822000,464,631,Automatic,Petrol,"13,2 l/100 km",308 g/km,8822,BLACK SERIES
93904,lamborghini,Lamborghini Aventador,black,22-Jun,2022,819900,574,780,Automatic,Petrol,16 l/100 km,370 g/km,3612,Ultimae Roadster 1 of 250/FullCarbon
93831,lamborghini,Lamborghini Aventador,green,21-Sep,2021,799900,566,770,Automatic,Petrol,"17,9 l/100 km",486 g/km,326,SVJ Roadster * Dreamcar*MWST
93833,lamborghini,Lamborghini Aventador,red,21-Feb,2021,799000,566,770,Automatic,Petrol,"19,6 l/100 km",452 g/km,1980,SVJ Roadster MY21 AdPersonam
52546,ferrari,Ferrari SF90 Spider,black,22-Aug,2022,795000,,,Automatic,Hybrid,6 l/100 km,149 g/km,300,Spider*Voll*Carbon*Schwarz-Schwarz
93758,lamborghini,Lamborghini Aventador,blue,20-Jun,2020,789950,566,770,Automatic,Petrol,"17,9 l/100 km",486 g/km,4300,SVJ Roadster 1di800 *Einzelstück*
106474,mercedes-benz,Mercedes-Benz CLK 55 AMG,silver,6-Apr,2006,779900,428,582,Automatic,Petrol,,#NAME?,41000,CLK DTM AMG Cabriolet - (1 /80)
52578,ferrari,Ferrari SF90 Spider,silver,23-Apr,2023,779000,,,Unknown,Petrol,,#NAME?,4000,"CH Auslieferung, ,,Neuzustand,, !"
1600,aston-martin,Aston Martin Vanquish,grey,19-Aug,2019,770007,444,604,Automatic,Petrol,"14,4 l/100 km",335 g/km,550,Zagato Shooting Brake Nr. 92/99
93767,lamborghini,Lamborghini Aventador,grey,20-Oct,2020,769900,566,770,Automatic,Petrol,"17,9 l/100 km",486 g/km,1450,SVJ Roadster LP770-4
23198,bentley,Bentley Mulsanne,black,20-Dec,2020,761600,377,513,Automatic,Petrol,"15,9 l/100 km",350 g/km,19500,MULSANNE COUPÉ by ARES MODENA - LIMITED EDITION
93798,lamborghini,Lamborghini Aventador,white,20-Dec,2020,759900,566,770,Automatic,Petrol,"17,9 l/100 km",486 g/km,7692,SVJ 1of 800 Roadster
93808,lamborghini,Lamborghini Aventador,blue,21-Sep,2021,750000,566,770,Automatic,Petrol,,0 g/km,8050,SVJ Roadster *Lift *Kam *Carbon *1 800
93766,lamborghini,Lamborghini Aventador,grey,20-Nov,2020,749999,566,770,Automatic,Petrol,"17,9 l/100 km",486 g/km,3348,SVJ Roadster*CARBON*SCHALE*KAMERA*LIFT
93780,lamborghini,Lamborghini Aventador,black,20-Nov,2020,749999,566,770,Automatic,Petrol,"17,9 l/100 km",486 g/km,3348,SVJ Roadster*CARBON*SCHALE*KAMERA*LIFT
52468,ferrari,Ferrari 488,red,21-Aug,2021,749980,530,721,Automatic,Petrol,"11,4 l/100 km",260 g/km,75,I Carbon I Sonderlackierung Rosso Portofino
52412,ferrari,Ferrari 488,black,20-Nov,2020,749900,530,721,Semi-automatic,Petrol,"12,8 l/100 km",289 g/km,1500,Ferrari Singen
52481,ferrari,Ferrari 488,black,21-Aug,2021,749900,530,721,Semi-automatic,Petrol,"12,8 l/100 km",289 g/km,168,Spider NEU: FLXBL Leasing
93835,lamborghini,Lamborghini Aventador,black,21-Jan,2021,749900,566,770,Automatic,Petrol,"17,9 l/100 km",486 g/km,600,SVJ*Traumauto*63er Design*NEUZUSTAND
167130,porsche,Porsche 911,silver,18-Jul,2018,749000,695,945,Automatic,Petrol,"11,8 l/100 km",269 g/km,9858,991.2 GT2 RS Weissach
167134,porsche,Porsche 991,silver,18-Jul,2018,749000,695,945,Automatic,Petrol,"11,8 l/100 km",269 g/km,9858,MANHART TR 900 (991.2 GT2 RS) / 945 PS / 1070 NM
52502,ferrari,Ferrari SF90 Spider,grey,22-Sep,2022,739900,735,999,Automatic,Hybrid,,#NAME?,1606,SPEC | LIFT | Carbon | Dreamline
93911,lamborghini,Lamborghini Aventador,white,22-Jun,2022,739900,566,770,Automatic,Petrol,"17,9 l/100 km",486 g/km,2900,SVJ Roadster LP770-4
93857,lamborghini,Lamborghini Aventador,blue,22-Jul,2022,735000,574,780,Automatic,Petrol,18 l/100 km,442 g/km,302,LP780-4 Ultimae 1of350 Dt.Auto*u-frei
93889,lamborghini,Lamborghini Aventador,black,22-Mar,2022,720000,574,780,Automatic,Petrol,- (l/100 km),#NAME?,4400,Ultimae LP 780-4. Der Letzte einer Ära.
93774,lamborghini,Lamborghini Aventador,green,20-Jul,2020,709900,566,770,Automatic,Petrol,18 l/100 km,452 g/km,292,SVJ
52374,ferrari,Ferrari 488,yellow,20-Feb,2020,705000,530,721,Automatic,Petrol,"9,3 l/100 km",289 g/km,553,Spider - 553 KM - GREAT SPEC -
52421,ferrari,Ferrari SF90 Spider,blue,21-Jul,2021,699980,735,999,Automatic,Hybrid,"12,3 l/100 km",280 g/km,2332,*Ferrari-Dresden*
93891,lamborghini,Lamborghini Aventador,black,22-Apr,2022,699780,574,780,Automatic,Petrol,16 l/100 km,370 g/km,1618,LP780-4 Ultimae NEUWAGEN
52324,ferrari,Ferrari 488,grey,19-Sep,2019,699000,530,721,Automatic,Petrol,"11,5 l/100 km",263 g/km,2438,Pista *Spider*Sonderanfertigung*Karbon*
93907,lamborghini,Lamborghini Aventador,white,22-May,2022,699000,574,780,Automatic,Petrol,18 l/100 km,442 g/km,780,Ultimae roadster 1 of 250 full carbon full options
93819,lamborghini,Lamborghini Aventador,yellow,21-Mar,2021,690000,566,770,Automatic,Petrol,"19,6 l/100 km",452 g/km,2850,SVJ LP770-4
166695,porsche,Porsche 911,blue,18-Oct,2018,689000,515,700,Automatic,Petrol,"11,8 l/100 km",269 g/km,133,GT2 RS Weissach no OPF
93727,lamborghini,Lamborghini Aventador,yellow,19-Jul,2019,679900,566,770,Automatic,Petrol,"19,6 l/100 km",452 g/km,2850,SVJ Coupe LP770-4
114912,mercedes-benz,Mercedes-Benz,silver,14-Mar,2014,669990,464,631,Automatic,Petrol,"13,2 l/100 km",308 g/km,10535,Black Series 1/350 Coupe
52321,ferrari,Ferrari 488,grey,19-Jul,2019,669000,530,721,Automatic,Petrol,"11,5 l/100 km",263 g/km,6549,Spider in Grigio Scuro mit Streifen
93826,lamborghini,Lamborghini Aventador,grey,21-Jul,2021,666000,566,770,Automatic,Petrol,,#NAME?,9153,SVJ Roadster 1of800
93717,lamborghini,Lamborghini Aventador,blue,19-Oct,2019,659800,566,770,Automatic,Petrol,"17,9 l/100 km",486 g/km,5750,AVENTADOR SVJ 10F900 CARBON LIFT SENSONUM FULL!
52377,ferrari,Ferrari 488,grey,20-Oct,2020,659000,530,721,Automatic,Petrol,"11,5 l/100 km",263 g/km,6220,Spider   ATELIER /CARBON/MATT-LACK
93909,lamborghini,Lamborghini Aventador,white,22-May,2022,659000,574,780,Automatic,Petrol,,#NAME?,3900,Ultimae
93841,lamborghini,Lamborghini Aventador,black,21-Feb,2021,649900,566,770,Automatic,Petrol,"19,6 l/100 km",452 g/km,13800,SVJ*NOVITEC Abgasanlage *Full Carbon*
93737,lamborghini,Lamborghini Aventador,green,19-Nov,2019,649800,566,770,Automatic,Petrol,"17,9 l/100 km",486 g/km,1690,SVJ *Unikat*Neuwertig*TOP*
52570,ferrari,Ferrari SF90 Spider,red,23-Mar,2023,645900,735,999,Automatic,Hybrid,"7,4 l/100 km",205 g/km,85,LIFT CARBON HUD KERAMIK KEYL
93738,lamborghini,Lamborghini Aventador,red,19-Jul,2019,639900,566,770,Automatic,Petrol,"17,9 l/100 km",486 g/km,8500,SVJ*Traumauto*Top Ausstattung*MWST
93749,lamborghini,Lamborghini Aventador,white,19-Jul,2019,629999,566,770,Automatic,Petrol,"17,9 l/100 km",486 g/km,3130,SVJ  *LIFT*KAMERA*CARBON*SENSONUM*1.H
52434,ferrari,Ferrari 488,grey,21-Mar,2021,629900,530,721,Automatic,Petrol,"14,8 l/100 km",263 g/km,4700,Pista Spider
52385,ferrari,Ferrari 488,grey,20-Jun,2020,619900,530,721,Automatic,Petrol,"11,5 l/100 km",263 g/km,581,Pista Carbon|RacingSeats|Lift|Power15
52425,ferrari,Ferrari F8 Tributo,yellow,21-Jun,2021,600000,602,818,Automatic,Petrol,"12,3 l/100 km",279 g/km,2043,NOVITEC N-LARGO Lifting Carbon 1 0f 15
52477,ferrari,Ferrari 812,black,21-Jun,2021,599999,588,799,Automatic,Petrol,"16,4 l/100 km",340 g/km,3800,6.5 V12 GTS CARBON INT&EXT CAMERA JBL FULL!
93659,lamborghini,Lamborghini Aventador,orange,16-Oct,2016,599999,552,751,Automatic,Petrol,16 l/100 km,370 g/km,2960,SV Roadster*1-HAND*IPE-EXHAUST*
52494,ferrari,Ferrari 812,blue,22-May,2022,599980,588,799,Automatic,Petrol,"14,5 l/100 km",340 g/km,81,GTS Neuwagen ohne Zulassung
52360,ferrari,Ferrari 488,silver,19-Jul,2019,599900,530,721,Semi-automatic,Petrol,,#NAME?,4900,Pista Spider Ferrari Singen
93827,lamborghini,Lamborghini Aventador,green,21-Mar,2021,599800,566,770,Automatic,Petrol,"17,9 l/100 km",486 g/km,9900,SVJ*Dreamcar*Vollausstattung*MWST*Matt
52541,ferrari,Ferrari 812,black,22-Mar,2022,598900,585,795,Automatic,Petrol,,#NAME?,3800,GTS *TAILOR-MADE*Ferrari-Dresden*
52386,ferrari,Ferrari 488,grey,20-Feb,2020,589890,530,721,Automatic,Petrol,"11,7 l/100 km",266 g/km,9800,Spider Carbon|RacingSeats|Lift|Power15
52387,ferrari,Ferrari 488,grey,20-Feb,2020,589890,530,721,Automatic,Petrol,"11,7 l/100 km",266 g/km,9800,Liftsystem/AFS/SurroundView
52539,ferrari,Ferrari SF90 Stradale,black,22-Feb,2022,575900,735,999,Automatic,Petrol,"6,5 l/100 km",169 g/km,400,Assetto Fiorano
93674,lamborghini,Lamborghini Aventador,red,17-Oct,2017,575900,552,751,Automatic,Petrol,16 l/100 km,370 g/km,1950,SV Roadster LP750-4
93657,lamborghini,Lamborghini Aventador,white,16-Jul,2016,569000,552,751,Automatic,Petrol,,#NAME?,5600,LP 750-4 SV - Superveloce - Roadster
106601,mercedes-benz,Mercedes-Benz B 180,grey,7-Dec,2007,565250,80,109,Automatic,Diesel,"6,2 l/100 km",164 g/km,199536,CDI Autom. Navi Leder Telefonvorb. AHK PDC
52116,ferrari,Ferrari F430,red,9-May,2009,564990,372,506,Automatic,Petrol,,#NAME?,6106,16M
93764,lamborghini,Lamborghini Aventador,grey,20-Mar,2020,559950,566,770,Automatic,Petrol,"17,9 l/100 km",486 g/km,7500,SVJ 1 of 900 Lamb. Garantie 03.2024
52487,ferrari,Ferrari,white,21-May,2021,559900,735,999,Automatic,Petrol,,#NAME?,3150,SF90 FIORANO/CARBON
93678,lamborghini,Lamborghini Aventador,white,17-Apr,2017,559900,552,751,Automatic,Petrol,16 l/100 km,370 g/km,899,SV Roadster Balloon White Carbon Fiber
52438,ferrari,Ferrari 812,grey,21-Mar,2021,559890,585,795,Automatic,Petrol,,#NAME?,3900,GTS Hist.- Farbe*Ferrari-Dresden*
23199,bentley,Bentley Mulsanne,black,20-Aug,2020,559000,395,537,Automatic,Petrol,"16,2 l/100 km",365 g/km,378,6.8 Speed W.O. Edition by Mulliner
93845,lamborghini,Lamborghini Urus,black,21-Oct,2021,550000,580,789,Automatic,Petrol,"12,7 l/100 km",325 g/km,2612,Novitec Esteso Edition Carbon 24 Zoll Voll
104642,mercedes-benz,Mercedes-Benz SLR,silver,4-Jan,2004,550000,460,625,Automatic,Petrol,"14,5 l/100 km",#NAME?,30000,SLR McLaren Coupe
52561,ferrari,Ferrari SF90 Stradale,red,23-Jun,2023,549980,735,999,Automatic,Hybrid,"12,3 l/100 km",280 g/km,95,NEUWAGEN Racingsitze Lift LED
52429,ferrari,Ferrari SF90 Stradale,grey,21-Dec,2021,549900,735,999,Automatic,Hybrid,"7,4 l/100 km",330 g/km,1000,Assetto Fiorano
52472,ferrari,Ferrari SF90 Stradale,black,21-Jun,2021,549900,735,999,Automatic,Hybrid,"7,4 l/100 km",330 g/km,1000,Assetto Fiorano
52506,ferrari,Ferrari 812,grey,22-Aug,2022,549500,588,799,Automatic,Petrol,,#NAME?,16250,GTS *CARBON (7x)*Pass. Display*Racing Seats*
52410,ferrari,Ferrari 812,black,20-Sep,2020,549111,588,799,Automatic,Petrol,"16,4 l/100 km",340 g/km,2625,GTS *Garantie bis 09.2025*
52562,ferrari,Ferrari 812,red,23-May,2023,530000,585,795,Automatic,Petrol,"16,4 l/100 km",373 g/km,198,GTS Rosso 70 Anni Charcoal Carbon Lift 360°
93635,lamborghini,Lamborghini Aventador,grey,15-May,2015,529751,552,751,Automatic,Petrol,16 l/100 km,370 g/km,19117,SV Superveloce LP750-4 Lift/Mehrwertst
52375,ferrari,Ferrari 488,yellow,20-Jan,2020,529550,530,721,Automatic,Petrol,"12,4 l/100 km",282 g/km,530,#NAME?
52431,ferrari,Ferrari,grey,21-Aug,2021,529500,,,Automatic,Petrol,- (l/100 km),0 g/km,1649,Assetto Fiorano*Carbonfelgen*Dt.Auto*u-frei
52471,ferrari,Ferrari SF90 Stradale,black,21-May,2021,529000,735,999,Automatic,Hybrid,- (l/100 km),#NAME?,6149,| Assetto Fiorano Paket
93773,lamborghini,Lamborghini Aventador,green,20-Sep,2020,529000,544,740,Unknown,Petrol,"18,4 l/100 km",499 g/km,1720,"S Roadster, Lift, erst 1.720 KM,1.Hand"
93574,lamborghini,Lamborghini Diablo,black,Mar-00,2000,525000,423,575,Manual,Petrol,,#NAME?,34000,"GT - ""R"""
128807,mercedes-benz,Mercedes-Benz G 63 AMG,green,23-Jan,2023,525000,430,585,Automatic,Petrol,"13,1 l/100 km",456 g/km,6000,4x4² DM2.0 Magnogreen Burmester/TV/AMG
52507,ferrari,Ferrari 812,grey,22-May,2022,524900,585,795,Automatic,Petrol,"16,4 l/100 km",373 g/km,790,GTS*1. Hd*dt. Auto*JBL*Surround*ADAS
52534,ferrari,Ferrari SF90 Stradale,black,22-Jun,2022,524900,,,Automatic,Hybrid,"7,4 l/100 km",330 g/km,300,Carbon wheels
52451,ferrari,Ferrari SF90 Stradale,red,21-May,2021,520000,735,999,Automatic,Hybrid,,#NAME?,1300,Assetto Fiorona Paket
52473,ferrari,Ferrari 812,black,21-Feb,2021,520000,588,799,Automatic,Petrol,,#NAME?,7800,GTS NOVITEC EINZELSTÜCK FULL CARBON TRAUMOPT
52524,ferrari,Ferrari SF90 Stradale,red,22-May,2022,520000,735,999,Automatic,Hybrid,"12,3 l/100 km",154 g/km,80,"RACINGSEATS-360°-ADAS-LIFT-20"""
52549,ferrari,Ferrari 812,black,22-May,2022,519900,588,799,Automatic,Petrol,"14,9 l/100 km",373 g/km,296,812 GTS RacingSeats/Liftsystem/Carbon-LED/360Kam
93668,lamborghini,Lamborghini Aventador,grey,17-Apr,2017,519500,552,751,Automatic,Petrol,16 l/100 km,370 g/km,12250,SV LP750-4 | 1 OF 600 | CARBON | LIFT|
52543,ferrari,Ferrari 812,black,22-May,2022,518850,585,795,Automatic,Petrol,"14,9 l/100 km",340 g/km,4812,"GTS NOVITEC, LIFT, Carbon, PassengerDisplay"
93658,lamborghini,Lamborghini Aventador,white,16-Apr,2016,514750,552,751,Semi-automatic,Petrol,16 l/100 km,370 g/km,2350,SV750 Roadster°CARBON INT/EXT°1 OF 500
93662,lamborghini,Lamborghini Aventador,yellow,17-Nov,2017,509750,551,749,Automatic,Petrol,,#NAME?,7700,SV Roadster LP 750-4
52577,ferrari,Ferrari,black,23-Jan,2023,508889,735,999,Automatic,Hybrid,"12,3 l/100 km",280 g/km,75,Stradale Racing Seats ADAS Karbon LED
93824,lamborghini,Lamborghini Urus,grey,21-Sep,2021,499999,580,789,Automatic,Petrol,"12,7 l/100 km",325 g/km,8674,NovitecEsteso GUCCI Edition VollCarbon 1of1
52358,ferrari,Ferrari 488,silver,19-Aug,2019,499990,530,721,Automatic,Petrol,"12,3 l/100 km",282 g/km,4500,Full Carbon + PPF + Lift + Race seats
52490,ferrari,Ferrari,blue,22-Nov,2022,499990,,,Automatic,Hybrid,,#NAME?,1590,SF90 * blu pozzi * Carbonsitze * Lift *
93648,lamborghini,Lamborghini Aventador,yellow,16-Aug,2016,499900,552,751,Automatic,Petrol,16 l/100 km,370 g/km,20432,"SV Roadster LP750-4 ab 5.620,04 €/mtl."
93655,lamborghini,Lamborghini Aventador,white,16-Dec,2016,499900,552,751,Automatic,Petrol,16 l/100 km,370 g/km,6701,SV Roadster 1of500/Capristo/Tricolore
93927,lamborghini,Lamborghini Urus,black,23-Mar,2023,499900,490,666,Automatic,Petrol,"14,1 l/100 km",281 g/km,80,"4.0 V8 Performante 23"" Carbon Bang&Olufsen"
52437,ferrari,Ferrari SF90 Stradale,grey,21-May,2021,499800,,,Automatic,Hybrid,"12,3 l/100 km",205 g/km,3174,RACINGSEAT CARBON LIFT CAMERA FULL
52442,ferrari,Ferrari 812,grey,21-Mar,2021,499800,588,799,Automatic,Petrol,,#NAME?,18050,GTS   ***Ferrari Frankfurt***
52475,ferrari,Ferrari 812,black,21-Jul,2021,499800,588,799,Automatic,Petrol,,#NAME?,3100,GTS   ***Ferrari Frankfurt***
93694,lamborghini,Lamborghini Aventador,grey,18-Aug,2018,499700,515,700,Automatic,Petrol,16 l/100 km,370 g/km,375,LP 700-4 ///Pirelli EDITION/// 1of100
51998,ferrari,Ferrari 512,red,May-96,1996,499000,324,441,Manual,Petrol,"9,9 l/100 km",#NAME?,30085,M
93685,lamborghini,Lamborghini Aventador,orange,17-Aug,2017,499000,552,751,Manual,Petrol,16 l/100 km,370 g/km,14260,"SV Roadster 1of 500 ""AD PERSONAM"""
93695,lamborghini,Lamborghini Aventador,grey,18-Apr,2018,499000,544,740,Manual,Petrol,"16,9 l/100 km",394 g/km,1909,S Roadster LP740
166872,porsche,Porsche 991,grey,18-Sep,2018,499000,515,700,Automatic,Petrol,"11,8 l/100 km",269 g/km,9018,911 991 GT2 RS Clubsport Weissach Grigio Telesto
167137,porsche,Porsche 991,silver,18-Mar,2018,499000,515,700,Automatic,Petrol,,#NAME?,10200,911 GT2 RS
52126,ferrari,Ferrari F430,red,10-Apr,2010,495000,375,510,Semi-automatic,Petrol,,#NAME?,32000,Scuderia 16M EINZELSTÜCK
52500,ferrari,Ferrari SF90 Stradale,yellow,22-Jun,2022,495000,735,999,Unknown,Hybrid,"12,3 l/100 km",280 g/km,4500,CARBON/RACING SEATS/LIFT/PASSANGER DIS
52571,ferrari,Ferrari,black,23-Jun,2023,495000,735,999,Automatic,Hybrid,"6,1 l/100 km",154 g/km,89,SF90   RACINGSITZE/LIFTING/KAMERA/ACC
128499,mercedes-benz,Mercedes-Benz AMG GT,orange,22-May,2022,494000,537,730,Automatic,Petrol,"12,8 l/100 km",292 g/km,6300,BLACK SERIES*TRACK-PACK*CARBON*ON STOCK*
52459,ferrari,Ferrari SF90 Stradale,red,21-Jul,2021,492888,735,999,Automatic,Hybrid,,#NAME?,5000,Rosso / Cuoio aus 1. Hand
166873,porsche,Porsche 911,grey,18-Nov,2018,489990,515,700,Automatic,Petrol,"11,8 l/100 km",269 g/km,8320,GT2 RS Weissach Lift PDLS BOSE Chrono
52469,ferrari,Ferrari 812,red,21-Mar,2021,489900,588,799,Automatic,Petrol,"14,9 l/100 km",373 g/km,13943,M *ADAS*Karbon*HiFi Premium*
164930,porsche,Porsche 997,black,11-Mar,2011,489356,300,408,Automatic,Petrol,"10,2 l/100 km",240 g/km,39000,"911 GTS Coupe,1.Hand,org.39TKM"
52448,ferrari,Ferrari 812,green,21-Jan,2021,489000,588,799,Automatic,Petrol,"16,1 l/100 km",366 g/km,1315,Superfast Tailor Made*Lift*Green Carbon*JBL*
128500,mercedes-benz,Mercedes-Benz AMG GT,orange,22-May,2022,488500,537,730,Automatic,Petrol,"9,4 l/100 km",292 g/km,400,BLACK SERIES MAGMA BEAM*LIMITED EDITION*
52540,ferrari,Ferrari 812,black,22-Mar,2022,482941,585,795,Unknown,Petrol,,#NAME?,3000,GTS**BRD**1.Hd**ufrei**Lift**Carbon**Amazing**
1672,aston-martin,Aston Martin Vantage,green,22-Aug,2022,479990,515,700,Automatic,Petrol,"13,9 l/100 km",315 g/km,766,(Limited Edition 1 of 333) *Q-SONDERAUSSTATTUNG*
52323,ferrari,Ferrari 488,grey,19-Aug,2019,479990,530,721,Automatic,Petrol,"11,5 l/100 km",263 g/km,3712,Pista Kamera/Lift/Klappe/JBL/Daytona/Carbon
52542,ferrari,Ferrari SF90 Stradale,black,22-Feb,2022,479900,735,999,Automatic,Hybrid,,0 g/km,2364,Carbon*Lift*Rennsportsitze
128502,mercedes-benz,Mercedes-Benz AMG GT,orange,22-May,2022,479000,537,730,Automatic,Petrol,"12,8 l/100 km",292 g/km,180,Black Series
52341,ferrari,Ferrari 488,red,19-Apr,2019,478900,530,721,Automatic,Petrol,,263 g/km,4300,"JBL, Lift, Kamera, Carbon, Racingseat"
1693,aston-martin,Aston Martin,grey,23-May,2023,476990,515,700,Automatic,Petrol,"13,8 l/100 km",315 g/km,61,Coupe Q Carbon Performance 1 of 333
166913,porsche,Porsche 911,red,18-Apr,2018,475000,515,700,Automatic,Petrol,"11,8 l/100 km",269 g/km,8864,GT2 RS Weissach
